S	217399773	10103	2019	EJECUCIONDEINGRESOS
D	1.1.01.01.40	10	002	001	C	1	000000000000000	1	9718403	0	0	0	0
D	1.1.01.01.41	10	002	017	C	1	000000000000000	1	2797849	0	0	0	0
D	1.1.01.02.39	10	002	001	C	1	000000000000000	1	115095420	0	0	0	0
D	1.1.01.02.47	10	002	001	C	1	000000000000000	1	941000	0	0	0	0
D	1.1.01.02.59	10	002	083	C	1	000000000000000	1	746000	0	0	0	0
D	1.1.01.02.61.01	10	002	001	C	1	000000000000000	1	49123000	0	0	0	0
D	1.1.01.02.63.05	10	003	086	C	1	000000000000000	1	516435857	0	0	0	0
D	1.1.01.02.63.11	10	003	028	C	1	000000000000000	1	132871712	0	0	0	0
D	1.1.01.02.63.19	10	003	048	C	1	000000000000000	1	155761414	0	0	0	0
D	1.1.01.02.69	10	007	001	C	1	000000000000000	1	104000	0	0	0	0
D	1.1.01.02.73	10	007	099	C	1	000000000000000	1	106826140	0	0	0	0
D	1.1.02.01.01.05	10	005	001	C	1	000000000000000	1	11652731	0	0	0	0
D	1.1.02.01.01.06	10	005	001	C	1	000000000000000	1	3610091	0	0	0	0
D	1.1.02.01.01.07	10	005	001	C	1	000000000000000	1	16325680	0	0	0	0
D	1.1.02.01.01.39	10	002	001	C	1	000000000000000	1	2404756	0	0	0	0
D	1.1.02.01.01.98	10	005	001	C	1	000000000000000	1	6382224	0	0	0	0
D	1.1.02.02.01.01.01.01	10	008	001	C	1	011301010000000	1	844256620	0	0	0	0
D	1.1.02.02.03.01.01.01.07	10	013	002	C	1	012201010000000	1	770303246	0	0	0	0
D	1.1.02.02.03.01.01.03.01.01	10	013	015	S	1	013601010000000	1	3658550282	0	0	0	0
D	1.1.02.02.03.01.01.03.05	10	013	011	C	1	013601010000000	1	2822095419	0	0	0	0
D	1.1.02.02.03.01.01.07	10	013	002	C	1	011301010000000	1	182966975	0	0	0	0
D	1.1.02.02.03.01.01.08	10	013	021	C	1	013201010000000	1	656640486	0	0	0	0
D	1.1.02.02.03.01.01.09.03	10	013	070	C	1	011301010000000	1	58866522	0	0	0	0
D	1.1.02.02.03.01.01.09.05	10	013	048	C	1	011301010000000	1	44149853	0	0	0	0
D	1.1.02.02.03.01.01.09.98	10	013	039	C	1	011301010000000	1	632814932	0	0	0	0
D	1.1.02.02.03.01.01.17.01.01	10	019	015	S	1	013601010000000	1	5207800422	0	0	0	0
D	1.1.02.02.03.01.03.01.03.01	10	013	015	S	1	020000000810500	1	117150738	0	0	0	0
D	1.1.02.02.03.03.01.98	10	013	010	C	1	110000009900000	1	157233566	0	0	0	0
D	1.2.01.02.98	10	019	099	C	1	000000000000000	1	866498461	0	0	0	0
D	1.2.01.02.98	11	019	099	C	1	000000000000000	1	202488616	0	0	0	0
D	1.2.02.01.03	10	013	011	C	1	000000000000000	1	185287545	0	0	0	0
D	1.2.02.01.03	10	013	039	C	1	000000000000000	1	211583996	0	0	0	0
D	1.2.02.01.03	10	019	002	C	1	000000000000000	1	567474329	0	0	0	0
D	1.2.02.01.03	10	019	028	C	1	000000000000000	1	121808560	0	0	0	0
D	1.2.02.01.07	11	047	011	C	1	000000000000000	1	894062521	0	0	0	0
D	1.2.02.01.07	11	047	021	C	1	000000000000000	1	2719111911	0	0	0	0
D	1.2.02.01.07	11	047	039	C	1	000000000000000	1	47245204	0	0	0	0
D	1.2.02.01.07	11	047	099	C	1	000000000000000	1	61607786	0	0	0	0
D	1.2.02.01.98	10	019	028	C	1	000000000000000	1	157570127	0	0	0	0
