S;;11012;2019;CGN2015_001_SALDOS_Y_MOVIMIENTOS_CONVERGENCIA
D;2.5.11.07;0;37932935;37857293;-75642;-75642;0
D;2.5.11.09;20960645;6315143;6303843;20949345;20949345;0
D;2.5.11.10;10971623;0;0;10971623;10971623;0
D;2.5.11.11;175700;552100;532800;156400;156400;0
D;2.5.11.22;5461027;13203397;13717367;5974997;5974997;0
D;2.5.11.23;3854827;9276236;9659152;4237743;4237743;0
D;2.5.11.24;1342300;4173300;4028800;1197800;1197800;0
D;2.5.11.90;0;8535000;8535000;0;0;0
D;2.9.10.90;2991000;0;0;2991000;2991000;0
D;3.1.05.06;2395740584.52;0;0;2395740584.52;0;2395740584.52
D;3.1.09.01;13736963072.27;0;0;13736963072.27;0;13736963072.27
D;3.1.09.02;-1230134376.79;0;0;-1230134376.79;0;-1230134376.79
D;4.1.10.61;36359358.32;0;31559442.44;67918800.76;0;67918800.76
D;4.4.28.02;692800672;0;444502546;1137303218;0;1137303218
D;4.4.28.03;738904255;0;400644300;1139548555;0;1139548555
D;4.4.28.90;3937055179.51;0;2550531609.43;6487586788.94;0;6487586788.94
D;4.8.02.01;60580016.52;0;21537733.3;82117749.82;0;82117749.82
D;4.8.08.26;5674374;12399894340.3;13292007307;897787340.7;0;897787340.7
D;4.8.08.27;20187.75;0;0;20187.75;0;20187.75
D;4.8.08.90;34074500;0;12820500;46895000;0;46895000
