CODIGO;CUENTA;SALDO ANTERIOR;DEBITO;CREDITO;SALDO FINAL
1;ACTIVOS;40459689303,000;6588716797,520;3860882239,840;43187523860,680
2;PASIVOS;-10710417409,670;448631836,500;628611690,824;-10890397263,994
3;PATRIMONIO;-29057567053,400;1716081,000;0,000;-29055850972,400
4;INGRESOS;-1084892057,470;13199601,000;2990550756,146;-4062243212,616
5;GASTOS;393187217,400;427780370,790;0,000;820967588,190
7;COSTOS DE TRANSFORMACIÓN;0,000;10200780,000;10200780,000;0,000
9;CUENTAS DE ORDEN ACREEDORAS;0,000;25220102,000;25220102,000;0,000
