CODIGO;CUENTA;SALDO ANTERIOR;DEBITO;CREDITO;SALDO FINAL
5;GASTOS;479100,000;546100,000;0,000;1025200,000
51;DE ADMINISTRACIÓN Y OPERACIÓN;479100,000;546100,000;0,000;1025200,000
5104;APORTES SOBRE LA NÓMINA;479100,000;546100,000;0,000;1025200,000
510401;Aportes al ICBF;479100,000;546100,000;0,000;1025200,000
