CODIGO;CUENTA;SALDO ANTERIOR;DEBITO;CREDITO;SALDO FINAL
1;Activos;23712019538,986;826250120,120;1221642800,610;23316626858,496
2;Pasivo;-2340848851,063;671359214,690;604066991,430;-2273556627,803
3;Patrimonio;-20933736609,443;0,000;0,000;-20933736609,443
4;Ingresos;-47268219,830;4708934,000;218404300,690;-260963586,520
5;Gastos;-11475416,110;467931634,580;678,000;456455540,470
6;Costos de ventas y operación;-378690442,540;0,000;0,000;-378690442,540
9;Cuentas de orden acreedoras;0,000;5981069,000;5981069,000;0,000
